"Median of NEES
boxcox",Length,Hydrophobicity,"Hydrophobic 
density","Hydrophobic_
moment",Netcharge,"RK_Hydrophobic ratio
Log1p","STRK_ratio
Log1p"
0.398,26,0.72,46.154,0.20,1,0.034628457,1.355
0.391,20,0.55,35,0.44,0,0.05804623,1.386
0.378,10,0.63,50,0.61,0,0.079181246,1.099
0.370,9,0.73,44.444,0.65,1,0.096910013,1.099
0.366,11,0.42,45.455,0.38,3,0.204119983,0.293
0.355,9,0.34,44.444,0.57,3,0.243038049,0
0.408,24,0.81,54.167,0.44,3,0.090258053,0.693
0.400,22,0.61,54.545,0.52,0,0.096910013,0.693
0.398,18,0.76,50,0.31,1,0.087071206,0.405
0.392,24,0.32,37.5,0.63,2,0.192009593,0.191
0.367,23,0.47,43.478,0.52,2,0.146128036,0.693
0.360,15,0.39,40,0.42,3,0.176091259,0.392
0.407,23,0.71,47.826,0.27,0,0.072617477,0
0.360,23,0.56,43.478,0.42,2,0.079181246,1.634
0.358,113,0.19,25.664,0.29,1,0.171141151,1.061
0.346,23,0.37,34.783,0.47,3,0.176091259,0.223
0.337,20,0.10,25,0.46,4,0.301029996,0
0.332,39,0.27,35.897,0.44,-5,0.132579848,0.272
0.331,54,0.19,33.333,0.46,-5,0.159567193,0.191
0.370,23,0.80,65.217,0.33,4,0.102776615,0.211
0.368,13,0.58,46.154,0.78,0,0.124830149,0
0.363,18,0.34,33.333,0.55,5,0.263162465,0.693
0.353,11,1.03,72.727,0.52,0,0.051152522,0
0.352,17,0.38,35.294,0.32,6,0.301029996,0
0.350,19,0.60,52.632,0.45,0,0.113943352,0
0.347,12,0.59,50,0.37,2,0.124830149,0
0.346,18,0.50,55.556,0.56,3,0.146128036,0.287
0.346,17,0.17,35.294,0.51,5,0.263162465,0
0.344,26,0.73,57.692,0.36,3,0.102776615,0.693
0.343,10,0.23,40,0.73,4,0.301029996,0
0.343,17,0.65,58.824,0.17,2,0.146128036,0.405
0.342,13,0.37,38.462,0.42,4,0.255272505,0.215
0.341,17,0.59,52.941,0.37,2,0.124830149,0
0.340,22,0.12,27.273,0.36,4,0.301029996,0.287
0.338,18,0.48,38.889,0.60,0,0.109240969,0.693
0.335,14,0.72,57.143,0.61,1,0.096910013,0
0.334,15,0.49,40,0.53,0,0.124830149,0.931
0.333,21,0.53,33.333,0.49,0,0.109240969,0.693
